DateTime,AddedIPs,RemovedIPs
1529464922,11,0
1529466122,3,1
1529467321,1,0
1529467922,4,0
1529468523,1,0
1529469721,4,0
1529470321,5,0
1529470921,4,0
1529471521,1,0
1529472122,1,1
1529474522,1,0
1529475722,4,0
1529476922,3,2
1529477522,3,1
1529478121,6,0
1529479321,1,0
1529479921,7,0
1529480522,2,0
1529481722,1,0
1529482322,8,2
1529482921,5,0
1529483521,0,2
1529484122,1,1
1529485322,3,0
1529486522,2,0
1529487722,7,1
1529488923,2,0
1529489522,3,0
1529490122,7,0
1529491321,3,6
1529491922,5,1
1529492522,11,1
1529493722,1,3
1529494321,1,0
1529496122,2,0
1529497923,3,0
1529498521,4,0
1529499122,1,0
1529499722,21,1
1529500322,4,0
1529500922,2,1
1529501522,1,0
1529502121,1,3
1529503322,9,0
1529504522,4,2
1529505722,12,0
1529506321,1,0
1529506921,2,2
1529507523,1,0
1529508122,4,0
1529508722,1,0
1529509322,2,0
1529509921,25,0
1529510522,15,0
1529511721,1,2
1529512322,1,2
1529512922,4,1
1529513521,2,0
1529514121,8,1
1529515921,2,0
1529516521,1,0
1529517122,3,2
1529517721,2,0
1529518322,5,0
1529518922,0,3
1529519522,6,0
1529520122,1,0
1529521321,16,0
1529522522,2,0
1529523722,6,0
1529524321,1,0
1529524922,2,0
1529525522,0,1
1529526722,5,0
1529527322,4,0
1529528522,7,1
1529529121,3,0
1529529721,5,0
1529530322,3,0
1529530922,10,1
1529531522,2,0
1529532122,4,0
1529533322,3,0
1529534522,0,4
1529536322,7,1
1529536922,10,0
1529537581,0,1
1529538122,11,0
1529538722,4,0
1529539322,8,0
1529540522,8,3
1529541721,4,1
1529542322,3,0
1529542921,2,0
1529544123,2,2
1529544721,6,0
1529545322,1,0
1529546522,2,0
1529547121,1,0
1529547722,2,1
1529548921,9,0
1529549522,2,0
1529550122,4,0
1529550721,9,1
1529551322,3,0
1529551921,1,0
1529552522,1,0
1529553722,2,0
1529554321,2,0
1529555521,20,0
1529556122,20,0
1529556722,15,0
1529557322,2,0
1529557922,2,0
1529559721,3,0
1529560923,6,0
1529562122,18,0
1529563322,1,0
1529564522,1,0
1529565721,4,0
1529566922,3,0
1529567521,2,0
1529568122,11,0
1529568721,5,0
1529569321,2,1
1529569921,1,0
1529570522,1,2
1529571122,1,0
1529572922,3,1
1529573581,1,0
1529574121,7,0
1529574722,4,1
1529575322,5,0
1529575921,1,0
1529576522,5,0
1529577722,1,0
1529578922,2,0
1529579522,1,0
1529580122,5,1
1529581321,13,0
1529582521,4,0
1529583721,6,1
1529584321,6,0
1529584922,6,0
1529586122,5,0
1529586722,3,0
1529587321,7,0
1529587922,2,0
1529589121,3,0
1529589721,2,0
1529590322,7,0
1529590922,1,0
1529591521,6,0
1529592121,1,0
1529593322,4,0
1529595121,1,1
1529595721,4,0
1529596922,8,0
1529598122,19,0
1529598722,2,0
1529599321,13,0
1529599922,6,0
1529601121,4,0
1529601722,1,0
1529602322,3,0
1529602921,1,0
1529604122,2,0
1529604722,3,0
1529605321,5,0
1529605981,2,0
1529606522,12,0
1529607122,3,0
1529607721,2,1
1529608922,2,0
1529610122,2,0
1529611323,4,0
1529611921,6,0
1529612521,5,0
1529613181,3,0
1529613722,11,0
1529614922,6,0
1529615521,4,0
1529616722,4,0
1529617323,7,0
1529618522,4,0
1529619721,2,0
1529622122,7,1
1529622722,2,0
1529623981,3,0
1529624522,1,0
1529625121,2,0
1529625722,14,0
1529626321,9,0
1529626922,15,0
1529628122,2,0
1529629322,3,0
1529630523,1,0
1529631722,1,0
1529632922,5,0
1529633522,2,0
1529634121,2,0
1529634722,2,0
1529635322,22,0
1529636522,8,0
1529637123,1,0
1529637721,7,0
1529638922,1,0
1529639522,3,0
1529640122,1,0
1529641321,2,0
1529641931,3,0
1529642523,2,0
1529643122,6,0
1529643722,2,1
1529644322,9,0
1529644922,2,0
1529646122,4,0
1529646721,1,0
1529647922,3,0
1529649721,5,0
1529650322,10,0
1529650921,0,1
1529651522,16,0
1529652122,2,0
1529653921,3,0
1529654522,1,0
1529655722,6,0
1529656321,1,0
1529656921,3,0
1529657521,1,0
1529658122,1,0
1529659322,2,0
1529659981,3,0
1529660521,3,0
1529661121,14,0
1529661723,10,0
1529662921,6,0
1529665322,2,0
1529667181,1,0
1529667722,1,0
1529668922,4,0
1529670122,4,0
1529670722,1,0
1529671321,2,1
1529672521,8,0
1529673722,4,0
1529674922,5,0
1529676122,8,0
1529676722,5,0
1529677322,1,0
1529678521,3,0
1529679121,10,0
1529679721,8,0
1529680922,30,0
1529682121,1,0
1529683322,2,1
1529684522,5,0
1529685722,8,0
1529686322,2,0
1529686921,6,0
1529688121,1,0
1529689321,1,0
1529690522,12,0
1529691721,8,0
1529692321,1,0
1529692921,13,0
1529696521,5,0
1529698323,3,0
1529698922,5,0
1529699522,1,0
1529700122,8,0
1529701321,13,0
1529701922,2,0
1529703122,1,0
1529703721,1,0
1529704921,1,0
1529707922,2,0
1529709722,14,0
1529710922,2,0
1529712122,1,0
1529713922,1,0
1529714521,2,0
1529715721,6,0
1529716323,2,0
1529716923,2,0
1529718122,31,0
1529719321,8,0
1529720522,2,0
1529721122,5,0
1529721723,2,0
1529722322,7,0
1529722922,6,0
1529723521,3,0
1529724122,1,0
1529724722,2,0
1529725321,1,0
1529726522,1,0
1529727122,12,0
1529727723,4,0
1529728381,19,0
1529730122,1,0
1529730722,1,0
1529731321,1,0
1529731922,2,0
1529732521,1,0
1529733721,17,0
1529734322,8,0
1529734921,6,0
1529735581,5,0
1529736122,1,0
1529737321,1,0
1529737922,12,0
1529739721,3,0
1529740322,2,0
1529740922,4,0
1529742121,1,0
1529743322,6,0
1529743922,1,1
1529745123,1,0
1529745721,2,0
1529746922,2,0
1529747522,2,0
1529748122,3,1
1529749322,2,0
1529751122,3,0
1529751721,3,0
1529752322,1,0
1529754121,1,0
1529755321,2,0
1529755922,1,0
1529756521,5,0
1529757721,3,0
1529758322,1,0
1529758921,7,0
1529759522,11,0
1529760122,1,0
1529761321,6,0
1529761922,1,0
1529762523,2,0
1529763722,1,0
1529766722,1,0
1529767322,4,0
1529767921,6,0
1529769722,12,0
1529770322,2,0
1529770921,8,0
1529771521,1,0
1529772121,13,0
1529773321,5,0
1529776922,13,0
1529778122,3,1
1529779322,8,0
1529780521,14,0
1529781122,5,0
1529781722,1,0
1529782322,7,1
1529782922,1,0
1529783521,7,0
1529784722,1,0
1529785321,8,0
1529785922,9,0
1529786522,8,0
1529787722,9,1
1529788922,8,0
1529789522,3,0
1529790121,3,0
1529791322,3,0
1529791922,8,0
1529792522,18,0
1529794921,26,0
1529795522,2,0
1529796121,1,0
1529797322,12,0
1529798522,1,0
1529799121,1,0
1529799722,10,0
1529800324,1,0
1529800921,9,0
1529801522,15,0
1529802122,7,0
1529803322,11,0
1529804521,3,0
1529805722,4,0
1529806323,1,0
1529806922,7,0
1529807522,37,0
1529808121,11,0
1529808722,12,1
1529809321,11,0
1529810522,11,0
1529811721,5,0
1529812322,10,0
1529812921,7,0
1529813522,1,0
1529814122,1,0
1529814722,1,0
1529815321,4,0
1529815922,3,0
1529817121,3,0
1529818381,2,0
1529818922,12,0
1529820122,5,0
1529820722,22,0
1529821321,3,0
1529821921,2,0
1529822522,2,1
1529824322,2,0
1529824922,6,0
1529825521,5,0
1529826122,4,2
1529826722,3,0
1529827922,2,0
1529828522,1,0
1529829721,1,0
1529830922,1,0
1529832122,4,0
1529834522,1,0
1529835721,1,0
1529836922,1,0
1529839322,2,1
1529839921,1,0
1529841122,2,0
1529841721,1,0
1529842921,3,0
1529844122,1,0
1529844722,8,0
1529845321,3,0
1529847181,2,0
1529850122,2,0
1529851322,4,0
1529852521,4,1
1529853122,1,0
1529856122,3,0
1529856722,1,0
1529857322,6,0
1529858522,3,0
1529859122,1,0
1529859722,23,0
1529860922,3,0
1529861522,5,0
1529861581,1,0
1529863921,2,0
1529865724,5,0
1529866922,1,0
1529868121,2,0
1529869322,2,0
1529870522,3,0
1529871722,6,0
1529872922,1,0
1529873521,2,0
1529874122,3,0
1529875322,3,0
1529876521,5,0
1529877723,6,0
1529878322,7,2
1529878922,7,0
1529880721,3,0
1529881322,1,0
1529881922,8,0
1529883122,1,0
1529884922,3,0
1529885522,4,0
1529886121,1,0
1529889122,1,0
1529890323,3,0
1529890922,2,0
1529891522,1,0
1529892121,6,0
1529892722,13,0
1529893321,3,0
1529893981,6,0
1529894522,4,0
1529896322,2,0
1529896922,2,0
1529897522,1,0
1529898122,2,0
1529899321,8,0
1529900522,6,0
1529901722,2,0
1529902321,1,0
1529902922,7,0
1529903522,9,0
1529904722,1,0
1529906522,4,0
1529907722,2,0
1529908322,2,1
1529908922,2,0
1529910122,1,0
1529911322,8,0
1529912521,14,0
1529913722,12,0
1529914922,4,0
1529916122,1,1
1529917322,36,0
1529917922,4,0
1529918522,1,0
1529919122,1,0
1529919721,1,0
1529920922,3,0
1529922122,1,0
